FEATURE,IMPORTANCE,STD,RANK,DATASET,TEST_SET,REGRESSOR
clustering_KiralyMSMApproximateClustering,0.0365227374520351,0.0003831360708673,15,all,D10,AutoML
clustering_UniqueMappingClustering,-0.0029316796399727,0.0001172655759988,16,all,D10,AutoML
lm_fasttext,0.0145791295881305,0.000456442053118,17,all,D10,AutoML
lm_sdistilroberta,0.0115345518262753,0.0003561039243532,18,all,D10,AutoML
lm_sent_glove,0.0124290577185778,0.0002008462767318,19,all,D10,AutoML
lm_sminilm,0.0024400150264917,0.0006474834543425,20,all,D10,AutoML
lm_smpnet,0.0062617002707688,0.0006594082407432,21,all,D10,AutoML
lm_st5,-0.0478706846505311,0.0019149243986322,22,all,D10,AutoML
lm_word2vec,0.006885733375333,0.0001628748222,23,all,D10,AutoML
k,-0.00016058995754,6.82158883883586e-06,0,all,D6,AutoML
threshold,0.0936266505044606,0.0013640306082397,1,all,D6,AutoML
InputEntityProfiles,0.0,0.0,2,all,D6,AutoML
NumberOfAttributes,0.0,0.0,3,all,D6,AutoML
NumberOfDistinctValues,0.0,0.0,4,all,D6,AutoML
NumberOfNameValuePairs,0.0,0.0,5,all,D6,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,all,D6,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,all,D6,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,all,D6,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,all,D6,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,all,D6,AutoML
AverageValueLength,0.0,0.0,11,all,D6,AutoML
AverageValueTokens,0.0,0.0,12,all,D6,AutoML
MaxValuesPerEntity,0.0,0.0,13,all,D6,AutoML
clustering_ConnectedComponentsClustering,0.2658879151707743,0.0028731027118162,14,all,D6,AutoML
clustering_KiralyMSMApproximateClustering,0.0005655829250983,1.5010849765004872e-05,15,all,D6,AutoML
clustering_UniqueMappingClustering,0.0038732979121862,6.599763991014854e-05,16,all,D6,AutoML
lm_fasttext,-0.0008812689756719,1.6438476061466328e-05,17,all,D6,AutoML
lm_sdistilroberta,0.0003593057476843,0.0001087305767643,18,all,D6,AutoML
lm_sent_glove,1.115007998426787e-05,1.161226249886572e-06,19,all,D6,AutoML
lm_sminilm,0.0472369862862469,0.0002924905565003,20,all,D6,AutoML
lm_smpnet,0.0013006620933733,2.74517749355391e-05,21,all,D6,AutoML
lm_st5,0.0543623614240727,0.0018216397207119,22,all,D6,AutoML
lm_word2vec,-0.0002081875825226,4.284048190700119e-06,23,all,D6,AutoML
