FEATURE,IMPORTANCE,DATASET,REGRESSOR,TEST_SET
clustering_KiralyMSMApproximateClustering,0.0697130309950564,all,RIDGE,D7
clustering_UniqueMappingClustering,0.0651960812116285,all,RIDGE,D7
lm_sdistilroberta,0.0133168640041454,all,RIDGE,D7
lm_sent_glove,0.0121868682865535,all,RIDGE,D7
lm_sminilm,0.0268500430994652,all,RIDGE,D7
lm_smpnet,0.0176506073127266,all,RIDGE,D7
lm_st5,0.0712317100359697,all,RIDGE,D7
lm_word2vec,0.0165960669099535,all,RIDGE,D7
k,0.0267851801255845,optuna,RIDGE,D7
threshold,0.1170614311468633,optuna,RIDGE,D7
InputEntityProfiles,0.0493952643153487,optuna,RIDGE,D7
NumberOfAttributes,0.045135004317,optuna,RIDGE,D7
NumberOfDistinctValues,0.0252421545905411,optuna,RIDGE,D7
NumberOfNameValuePairs,0.031370724584457,optuna,RIDGE,D7
AverageNVPairsPerEntity,0.0469522968793762,optuna,RIDGE,D7
AverageDistinctValuesPerEntity,0.0699039365306429,optuna,RIDGE,D7
AverageNVpairsPerAttribute,0.0493011074266301,optuna,RIDGE,D7
AverageDistinctValuesPerAttribute,0.0327798349517894,optuna,RIDGE,D7
NumberOfMissingNVpairs,0.0931767384043696,optuna,RIDGE,D7
AverageValueLength,0.0336175924939995,optuna,RIDGE,D7
AverageValueTokens,0.0412936456433651,optuna,RIDGE,D7
MaxValuesPerEntity,0.048681600522559,optuna,RIDGE,D7
clustering_KiralyMSMApproximateClustering,0.0547596506595079,optuna,RIDGE,D7
clustering_UniqueMappingClustering,0.0490147684601769,optuna,RIDGE,D7
lm_sdistilroberta,0.0098679814347965,optuna,RIDGE,D7
lm_sent_glove,0.0145544021988937,optuna,RIDGE,D7
lm_sminilm,0.0299994062862009,optuna,RIDGE,D7
lm_smpnet,0.0159027150897144,optuna,RIDGE,D7
lm_st5,0.0936735528079967,optuna,RIDGE,D7
lm_word2vec,0.0215310111301859,optuna,RIDGE,D7
k,0.0025168503625422,gridsearch,RIDGE,D4
threshold,0.1815707175798745,gridsearch,RIDGE,D4
InputEntityProfiles,0.0747973541990129,gridsearch,RIDGE,D4
NumberOfAttributes,0.0121067980261227,gridsearch,RIDGE,D4
NumberOfDistinctValues,0.0343445850950481,gridsearch,RIDGE,D4
NumberOfNameValuePairs,0.0310200012265882,gridsearch,RIDGE,D4
AverageNVPairsPerEntity,0.0341234165678422,gridsearch,RIDGE,D4
AverageDistinctValuesPerEntity,0.0531822288303743,gridsearch,RIDGE,D4
AverageNVpairsPerAttribute,0.0532228835827631,gridsearch,RIDGE,D4
AverageDistinctValuesPerAttribute,0.0304833701652944,gridsearch,RIDGE,D4
NumberOfMissingNVpairs,0.0144226410484001,gridsearch,RIDGE,D4
AverageValueLength,0.0228413289300195,gridsearch,RIDGE,D4
AverageValueTokens,0.030442718906277,gridsearch,RIDGE,D4
MaxValuesPerEntity,0.0188534527032,gridsearch,RIDGE,D4
clustering_KiralyMSMApproximateClustering,0.0919325330724213,gridsearch,RIDGE,D4
clustering_UniqueMappingClustering,0.0908342377881111,gridsearch,RIDGE,D4
lm_sdistilroberta,0.0329076840944131,gridsearch,RIDGE,D4
lm_sent_glove,0.0169976153296311,gridsearch,RIDGE,D4
lm_sminilm,0.0436562417640046,gridsearch,RIDGE,D4
lm_smpnet,0.0340364634093724,gridsearch,RIDGE,D4
lm_st5,0.0725154518227468,gridsearch,RIDGE,D4
lm_word2vec,0.0231914254959397,gridsearch,RIDGE,D4
k,0.0023335784183653,gridsearch,RIDGE,D1
threshold,0.1398723422692978,gridsearch,RIDGE,D1
InputEntityProfiles,0.036570819255763,gridsearch,RIDGE,D1
NumberOfAttributes,0.0475793855539244,gridsearch,RIDGE,D1
NumberOfDistinctValues,0.0255694843931207,gridsearch,RIDGE,D1
NumberOfNameValuePairs,0.0269762561444066,gridsearch,RIDGE,D1
AverageNVPairsPerEntity,0.0275116815686775,gridsearch,RIDGE,D1
AverageDistinctValuesPerEntity,0.0734248557072111,gridsearch,RIDGE,D1
AverageNVpairsPerAttribute,0.0574585758985722,gridsearch,RIDGE,D1
AverageDistinctValuesPerAttribute,0.0444339985415778,gridsearch,RIDGE,D1
